Response,Effective To Date,Customer,State,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Number of Open Complaints,Months Since Last Claim,Coverage,Monthly Premium Auto,Policy Type,Policy,Months Since Policy Inception,Number of Policies,Renew Offer Type,Vehicle Class,Vehicle Size,Sales Channel,Total Claim Amount,Customer Lifetime Value
0,2/18/11,EB59129,Oregon,Bachelor,Employed,F,47234,Rural,Married,0,11,Basic,65,Personal Auto,Personal L2,34,1,Offer1,Four-Door Car,Medsize,Agent,15.631363,2595.747991
0,2001-12-11,RA70851,Oregon,High School or Below,Employed,M,86863,Suburban,Married,0,27,Extended,92,Personal Auto,Personal L3,26,3,Offer2,Four-Door Car,Medsize,Branch,441.6,7437.693335
0,1/16/11,PM19162,Oregon,Bachelor,Employed,M,25805,Suburban,Divorced,2,25,Basic,66,Personal Auto,Personal L2,0,2,Offer2,Four-Door Car,Medsize,Call Center,375.866091,14536.78759
0,1/23/11,MS59005,Nevada,Bachelor,Employed,M,43676,Suburban,Single,0,19,Extended,76,Personal Auto,Personal L3,7,3,Offer1,Four-Door Car,Medsize,Agent,364.8,5913.305869
0,2001-07-11,SU71163,Arizona,College,Employed,M,59855,Suburban,Married,4,30,Basic,74,Personal Auto,Personal L2,82,1,Offer2,Two-Door Car,Medsize,Branch,355.2,2771.663013
0,2001-04-11,BD35676,Arizona,Master,Employed,M,35296,Urban,Single,0,19,Extended,126,Personal Auto,Personal L1,11,2,Offer2,SUV,Medsize,Branch,452.616872,29194.36639
0,2001-03-11,NI44621,Oregon,Master,Employed,F,36576,Rural,Married,1,11,Extended,125,Personal Auto,Personal L3,73,3,Offer1,SUV,Medsize,Agent,113.450122,9880.38582
1,1/19/11,EW33419,California,High School or Below,Medical Leave,F,28513,Suburban,Married,1,4,Basic,100,Corporate Auto,Corporate L2,22,2,Offer2,SUV,Medsize,Call Center,480,15114.40241
0,1/28/11,HX44948,Oregon,Bachelor,Employed,M,85448,Rural,Married,0,16,Basic,72,Special Auto,Special L2,76,3,Offer3,Four-Door Car,Medsize,Agent,16.03451,5759.91084
0,1/24/11,DL36983,Oregon,High School or Below,Employed,F,23791,Suburban,Divorced,3,11,Premium,110,Personal Auto,Personal L3,71,7,Offer1,Two-Door Car,Medsize,Agent,615.27228,8495.164213
0,2001-08-11,XR87264,California,Bachelor,Employed,F,20597,Suburban,Married,0,31,Premium,112,Personal Auto,Personal L2,46,1,Offer2,Four-Door Car,Medsize,Agent,615.256301,4381.184212
0,2/23/11,NN99001,Arizona,College,Employed,F,56940,Suburban,Married,0,11,Extended,87,Personal Auto,Personal L3,10,9,Offer2,Four-Door Car,Small,Web,512.66245,6997.827397
0,1/16/11,XV95530,Oregon,Bachelor,Employed,M,93210,Rural,Married,0,35,Basic,71,Personal Auto,Personal L3,62,2,Offer4,Two-Door Car,Large,Web,74.523935,11430.58845
0,1/23/11,OL97871,Oregon,Bachelor,Employed,F,48992,Urban,Married,1,30,Extended,94,Personal Auto,Personal L2,0,7,Offer1,Four-Door Car,Medsize,Agent,426.072946,7482.486135
0,1/31/11,HQ23708,Arizona,Master,Employed,F,53736,Rural,Married,0,2,Basic,71,Personal Auto,Personal L3,20,2,Offer4,Two-Door Car,Medsize,Web,169.287785,8596.916624
0,1/16/11,WR63188,Arizona,College,Employed,M,25378,Suburban,Married,1,22,Basic,66,Personal Auto,Personal L2,32,2,Offer1,Four-Door Car,Medsize,Agent,419.464143,7854.960831
1,2/14/11,NG82219,Oregon,Bachelor,Employed,F,76731,Urban,Married,0,2,Basic,64,Personal Auto,Personal L3,68,1,Offer2,Four-Door Car,Medsize,Agent,201.455005,2582.408525
0,2001-12-11,GB33195,Washington,High School or Below,Unemployed,M,0,Suburban,Single,0,11,Basic,64,Personal Auto,Personal L3,85,1,Offer4,Four-Door Car,Medsize,Branch,662.69318,2275.363967
1,1/28/11,RE46783,California,Bachelor,Employed,F,69379,Suburban,Single,0,14,Premium,103,Personal Auto,Personal L2,79,1,Offer1,Two-Door Car,Medsize,Branch,494.4,4118.588554
1,2/27/11,RU94434,Oregon,High School or Below,Employed,M,57449,Suburban,Single,0,6,Premium,103,Personal Auto,Personal L3,28,2,Offer1,Four-Door Car,Medsize,Agent,494.4,12157.32992
0,2001-02-11,GI82355,Arizona,Bachelor,Unemployed,M,0,Suburban,Married,0,7,Basic,68,Corporate Auto,Corporate L1,31,7,Offer2,Four-Door Car,Medsize,Web,326.4,5152.819636
0,2001-02-11,VO26340,Nevada,College,Unemployed,M,0,Suburban,Single,0,30,Extended,93,Personal Auto,Personal L2,70,6,Offer3,Two-Door Car,Medsize,Agent,669.6,6512.976472
1,1/20/11,NV61299,Arizona,Bachelor,Employed,F,33806,Urban,Divorced,0,32,Extended,89,Corporate Auto,Corporate L3,59,2,Offer2,Four-Door Car,Medsize,Web,395.729716,27789.69235
0,1/29/11,PT64580,Washington,Master,Employed,M,77048,Rural,Married,0,20,Basic,103,Personal Auto,Personal L1,41,1,Offer2,SUV,Medsize,Agent,141.199465,4191.966092
0,2001-11-11,CY50337,Oregon,College,Employed,F,74965,Rural,Married,0,20,Extended,90,Personal Auto,Personal L3,93,2,Offer1,Four-Door Car,Medsize,Agent,58.557552,10928.40709
0,2001-09-11,TJ20375,Arizona,High School or Below,Employed,F,34095,Suburban,Married,0,5,Basic,63,Personal Auto,Personal L3,99,2,Offer2,Two-Door Car,Medsize,Web,302.4,7615.381271
1,2/22/11,EP72155,California,College,Unemployed,F,0,Suburban,Divorced,4,16,Basic,66,Personal Auto,Personal L3,35,1,Offer1,Four-Door Car,Small,Branch,316.8,2004.350666
0,1/15/11,JJ76159,California,College,Employed,M,96045,Rural,Divorced,0,24,Basic,61,Corporate Auto,Corporate L3,35,1,Offer2,Four-Door Car,Large,Web,8.582971,2434.681155
0,2002-12-11,BG15419,Nevada,Bachelor,Employed,F,86355,Rural,Married,0,27,Basic,118,Personal Auto,Personal L3,86,2,Offer1,Sports Car,Large,Agent,285.418473,14195.36028
0,1/21/11,AO74776,California,High School or Below,Employed,F,27824,Suburban,Married,0,32,Basic,118,Personal Auto,Personal L3,9,8,Offer3,SUV,Large,Agent,566.4,9427.684903
0,2/27/11,HQ82233,California,High School or Below,Employed,M,42995,Urban,Married,0,10,Basic,101,Personal Auto,Personal L3,22,2,Offer3,SUV,Medsize,Call Center,410.508316,11982.42085
0,2002-04-11,OL72737,Oregon,High School or Below,Employed,F,21235,Urban,Married,0,18,Extended,79,Personal Auto,Personal L2,56,1,Offer4,Two-Door Car,Medsize,Agent,244.23135,3102.789546
0,1/17/11,ZQ59828,California,High School or Below,Employed,M,74585,Rural,Married,0,1,Basic,106,Personal Auto,Personal L3,49,1,Offer2,SUV,Medsize,Agent,218.598065,4222.631209
0,2001-10-11,NZ15548,Oregon,Bachelor,Employed,M,41833,Suburban,Married,0,28,Premium,103,Personal Auto,Personal L3,43,1,Offer2,Four-Door Car,Medsize,Branch,643.826716,4023.814439
0,2/19/11,XK61304,California,College,Medical Leave,F,23908,Suburban,Married,0,18,Basic,70,Personal Auto,Personal L3,57,4,Offer1,Four-Door Car,Medsize,Agent,336,5297.151805
1,2001-03-11,EJ44139,Oregon,Bachelor,Unemployed,M,0,Suburban,Married,0,9,Basic,65,Personal Auto,Personal L1,31,2,Offer2,Two-Door Car,Medsize,Agent,312,21423.63723
0,1/26/11,CM94425,Arizona,Bachelor,Employed,M,61953,Urban,Divorced,0,5,Basic,113,Personal Auto,Personal L3,63,1,Offer3,SUV,Medsize,Branch,497.047297,4416.206243
0,2/28/11,OV54878,California,Bachelor,Unemployed,M,0,Suburban,Single,0,5,Premium,142,Corporate Auto,Corporate L2,87,1,Offer4,SUV,Medsize,Web,1022.4,4639.035171
0,1/13/11,JF57282,Nevada,Bachelor,Unemployed,M,0,Suburban,Married,0,25,Extended,137,Personal Auto,Personal L2,45,1,Offer2,SUV,Small,Branch,657.6,4863.544585
0,1/31/11,MY37953,Arizona,Bachelor,Employed,F,73760,Rural,Married,1,16,Basic,107,Personal Auto,Personal L2,3,2,Offer3,Sports Car,Medsize,Web,230.245772,25830.90982
0,2/16/11,XP64922,Oregon,College,Employed,F,23333,Rural,Married,0,8,Basic,74,Corporate Auto,Corporate L3,43,1,Offer4,Four-Door Car,Medsize,Agent,5.622751,2974.314896
0,2001-08-11,WL65572,California,College,Unemployed,M,0,Suburban,Single,0,6,Basic,61,Personal Auto,Personal L3,30,1,Offer2,Four-Door Car,Medsize,Agent,292.8,2064.458781
0,2002-03-11,LN50325,Arizona,High School or Below,Employed,F,20440,Suburban,Married,2,11,Extended,128,Corporate Auto,Corporate L3,54,9,Offer3,Sports Car,Medsize,Branch,614.4,10064.60828
0,2002-11-11,MP53505,Washington,High School or Below,Employed,F,86073,Rural,Married,0,3,Extended,136,Corporate Auto,Corporate L3,32,1,Offer4,Sports Car,Medsize,Agent,333.5671,5500.01251
0,2001-10-11,KH59823,California,College,Employed,M,50943,Suburban,Divorced,0,18,Extended,139,Special Auto,Special L2,14,1,Offer1,SUV,Medsize,Branch,667.2,5489.214062
0,2/23/11,YM79169,California,Bachelor,Disabled,M,19003,Rural,Married,0,29,Basic,71,Personal Auto,Personal L1,21,1,Offer3,Two-Door Car,Medsize,Agent,34.651305,2612.756658
0,2001-10-11,DR38127,California,College,Employed,M,46703,Suburban,Single,0,0,Premium,108,Personal Auto,Personal L3,48,6,Offer1,Four-Door Car,Small,Branch,678.100487,8573.463947
1,1/26/11,PU42145,California,Bachelor,Medical Leave,M,14072,Suburban,Divorced,0,13,Basic,71,Personal Auto,Personal L3,3,2,Offer1,Four-Door Car,Medsize,Agent,511.2,24127.50402
0,2002-06-11,KM33477,Oregon,College,Employed,M,21733,Suburban,Single,0,17,Basic,73,Corporate Auto,Corporate L2,37,2,Offer2,Four-Door Car,Medsize,Web,525.6,8550.386579
0,1/20/11,RI53167,Arizona,Bachelor,Medical Leave,M,20811,Suburban,Married,0,33,Basic,61,Personal Auto,Personal L2,61,1,Offer2,Four-Door Car,Medsize,Agent,292.8,2308.648034
1,2002-03-11,OF77789,Arizona,High School or Below,Disabled,F,11904,Suburban,Single,2,34,Basic,61,Personal Auto,Personal L3,11,3,Offer1,Two-Door Car,Small,Web,292.8,4254.620669
0,2/13/11,YB33445,Oregon,College,Employed,F,43490,Rural,Married,4,24,Basic,114,Corporate Auto,Corporate L1,63,6,Offer1,SUV,Medsize,Call Center,174.588413,8982.850377
0,1/17/11,BA17836,California,High School or Below,Employed,M,57340,Rural,Single,0,7,Basic,67,Corporate Auto,Corporate L3,19,2,Offer1,Four-Door Car,Medsize,Agent,159.391681,7868.165983
0,2002-09-11,JS43228,California,College,Employed,M,49088,Suburban,Married,0,4,Extended,97,Corporate Auto,Corporate L3,46,3,Offer4,Four-Door Car,Small,Branch,698.4,7704.248723
0,2001-02-11,BB11622,Nevada,Master,Employed,M,47761,Rural,Married,0,2,Extended,131,Personal Auto,Personal L3,54,6,Offer1,SUV,Small,Agent,232.711071,10552.16999
0,2/26/11,UG79499,Washington,Bachelor,Employed,M,70930,Rural,Divorced,0,2,Extended,99,Personal Auto,Personal L1,21,2,Offer1,Four-Door Car,Medsize,Agent,190.43446,11681.37428
0,2/13/11,WK88044,Arizona,Bachelor,Employed,M,61281,Rural,Married,0,7,Basic,110,Personal Auto,Personal L3,16,7,Offer1,SUV,Medsize,Agent,79.865605,8737.837514
0,2/22/11,LA80525,Nevada,Bachelor,Unemployed,M,0,Suburban,Divorced,1,4,Extended,82,Corporate Auto,Corporate L3,77,3,Offer1,Two-Door Car,Large,Branch,393.6,5454.890731
0,2/26/11,EH16250,Arizona,Bachelor,Employed,M,25290,Suburban,Single,0,0,Basic,66,Personal Auto,Personal L1,4,2,Offer3,Four-Door Car,Medsize,Call Center,382.085897,7705.283329
0,2002-12-11,PU41872,Arizona,High School or Below,Employed,F,24239,Rural,Married,0,25,Extended,88,Personal Auto,Personal L1,5,8,Offer4,Four-Door Car,Medsize,Call Center,48.348319,7039.262387
1,1/21/11,HB85743,California,Bachelor,Employed,M,82664,Rural,Married,3,24,Basic,114,Personal Auto,Personal L1,10,9,Offer2,SUV,Medsize,Agent,133.425609,8838.085637
0,2002-05-11,MM71959,Arizona,Bachelor,Employed,M,83210,Suburban,Divorced,0,0,Basic,110,Personal Auto,Personal L3,25,3,Offer3,Sports Car,Large,Branch,528,8733.527338
0,2/18/11,MB83663,Oregon,Bachelor,Employed,F,38736,Suburban,Divorced,0,7,Extended,81,Personal Auto,Personal L3,35,2,Offer1,Two-Door Car,Small,Call Center,561.414794,9597.474777
0,1/17/11,KR43119,California,College,Unemployed,M,0,Suburban,Single,0,0,Basic,66,Personal Auto,Personal L3,10,9,Offer1,Four-Door Car,Medsize,Call Center,316.8,4506.660224
0,2/13/11,KH24214,Oregon,College,Employed,M,55437,Suburban,Married,1,5,Basic,64,Personal Auto,Personal L3,78,2,Offer3,Four-Door Car,Medsize,Agent,445.287788,17857.97233
0,2002-03-11,HD95276,Washington,College,Unemployed,F,0,Rural,Married,0,0,Extended,130,Personal Auto,Personal L3,93,1,Offer3,SUV,Medsize,Branch,23.820158,4737.871725
0,2001-01-11,HP55391,Oregon,Master,Unemployed,M,0,Suburban,Married,0,33,Basic,71,Corporate Auto,Corporate L3,83,3,Offer1,Four-Door Car,Medsize,Agent,407.99684,5426.136238
0,2/19/11,EG62398,California,High School or Below,Employed,F,29066,Suburban,Married,0,13,Basic,100,Personal Auto,Personal L3,51,3,Offer2,SUV,Medsize,Branch,844.229478,7998.143771
0,2/25/11,VS19949,Nevada,Bachelor,Employed,M,54337,Suburban,Married,0,27,Basic,72,Personal Auto,Personal L2,7,1,Offer3,Four-Door Car,Medsize,Web,345.6,2897.620704
0,2/19/11,AM92343,Oregon,High School or Below,Employed,F,67616,Urban,Married,0,25,Extended,96,Personal Auto,Personal L3,17,2,Offer3,Four-Door Car,Medsize,Agent,340.306584,11599.50219
0,2/16/11,GI68556,California,Bachelor,Employed,F,41082,Rural,Married,0,23,Basic,63,Personal Auto,Personal L2,94,2,Offer3,Two-Door Car,Medsize,Web,106.647493,15147.93055
0,2/13/11,JT11876,Washington,High School or Below,Unemployed,F,0,Suburban,Single,0,12,Basic,73,Personal Auto,Personal L1,71,4,Offer2,Four-Door Car,Small,Branch,626.116259,5435.767832
1,2001-03-11,XR64251,Nevada,Master,Employed,F,36650,Rural,Married,1,2,Basic,69,Personal Auto,Personal L1,70,1,Offer2,Four-Door Car,Large,Web,56.60333,2725.356404
0,2/19/11,MK34957,Oregon,College,Employed,F,50631,Suburban,Married,4,19,Basic,112,Special Auto,Special L1,12,2,Offer2,SUV,Medsize,Agent,784.65781,13297.71225
0,1/22/11,GP18756,California,College,Medical Leave,M,19592,Suburban,Divorced,0,31,Extended,92,Personal Auto,Personal L2,63,2,Offer4,Four-Door Car,Medsize,Web,441.6,9927.049694
0,1/23/11,AP23850,Washington,High School or Below,Unemployed,F,0,Suburban,Married,0,30,Premium,114,Personal Auto,Personal L2,1,2,Offer3,Two-Door Car,Medsize,Branch,547.2,17771.54902
0,2002-12-11,KQ65521,Arizona,College,Employed,F,55761,Rural,Divorced,0,22,Basic,115,Personal Auto,Personal L3,73,2,Offer1,Sports Car,Medsize,Branch,86.27772,18269.27017
1,2002-02-11,EJ19449,California,College,Medical Leave,F,17576,Suburban,Married,0,29,Basic,71,Special Auto,Special L2,70,1,Offer2,Four-Door Car,Medsize,Call Center,398.502948,2722.210707
0,2/24/11,QB70027,California,Bachelor,Employed,F,41449,Rural,Married,0,15,Extended,89,Personal Auto,Personal L2,45,5,Offer4,Four-Door Car,Medsize,Branch,63.516572,7083.212357
1,2001-05-11,QW47320,California,Bachelor,Retired,F,14290,Suburban,Married,0,20,Premium,271,Personal Auto,Personal L1,40,1,Offer1,Luxury SUV,Medsize,Agent,1300.8,10179.71704
0,2/24/11,KH64733,Nevada,College,Employed,F,62007,Rural,Married,0,4,Basic,73,Personal Auto,Personal L3,7,3,Offer2,Four-Door Car,Medsize,Agent,120.015609,5889.509098
0,2/26/11,ON59472,Arizona,High School or Below,Medical Leave,M,21921,Suburban,Married,0,14,Extended,206,Corporate Auto,Corporate L2,44,3,Offer1,Luxury SUV,Large,Branch,1254.137899,15771.39342
0,1/17/11,HP94242,Arizona,Bachelor,Employed,F,42621,Suburban,Married,0,8,Basic,66,Personal Auto,Personal L1,3,3,Offer2,Four-Door Car,Medsize,Call Center,316.8,5288.173294
0,1/22/11,RV15398,Oregon,College,Unemployed,M,0,Suburban,Divorced,1,16,Extended,87,Personal Auto,Personal L3,41,2,Offer1,Four-Door Car,Large,Agent,417.6,27580.55396
0,2001-07-11,EA25683,Washington,High School or Below,Employed,M,63786,Urban,Single,0,30,Basic,196,Corporate Auto,Corporate L3,81,1,Offer1,Luxury SUV,Medsize,Branch,798.002689,7778.532347
0,1/18/11,PW73754,California,High School or Below,Unemployed,F,0,Rural,Married,3,1,Basic,104,Personal Auto,Personal L3,48,7,Offer1,Sports Car,Medsize,Branch,82.041684,7341.861257
0,2001-07-11,MC71942,California,High School or Below,Employed,F,82877,Rural,Married,1,8,Extended,99,Personal Auto,Personal L3,89,3,Offer1,Two-Door Car,Medsize,Agent,22.819088,7919.197048
0,2002-07-11,OX72195,Arizona,College,Unemployed,M,0,Suburban,Single,0,0,Basic,63,Corporate Auto,Corporate L3,75,1,Offer2,Two-Door Car,Medsize,Branch,302.4,2163.870179
0,2001-07-11,YQ99152,Nevada,High School or Below,Retired,M,10475,Suburban,Married,1,13,Extended,88,Personal Auto,Personal L2,81,2,Offer1,Two-Door Car,Small,Branch,422.4,9787.808819
0,1/18/11,KI19439,Oregon,High School or Below,Employed,F,21952,Suburban,Married,0,20,Basic,66,Personal Auto,Personal L1,31,6,Offer4,Four-Door Car,Small,Branch,316.8,5207.640754
0,2001-07-11,PM76175,Oregon,Bachelor,Employed,F,49721,Suburban,Married,0,18,Extended,132,Corporate Auto,Corporate L3,49,2,Offer3,Sports Car,Large,Call Center,639.971388,21147.27716
1,2001-01-11,US45383,California,College,Employed,M,88340,Suburban,Married,0,16,Premium,102,Personal Auto,Personal L3,1,2,Offer1,Two-Door Car,Medsize,Branch,489.6,12280.76661
0,2/13/11,GT38956,California,College,Unemployed,F,0,Suburban,Married,0,7,Basic,65,Personal Auto,Personal L3,28,1,Offer2,Four-Door Car,Medsize,Branch,312,2441.394244
0,2002-10-11,SN41301,Oregon,Bachelor,Unemployed,M,0,Suburban,Single,0,14,Basic,65,Corporate Auto,Corporate L2,62,2,Offer3,Four-Door Car,Medsize,Branch,468,6535.560574
0,2001-10-11,BE62503,Washington,College,Retired,F,24589,Suburban,Married,0,33,Extended,82,Personal Auto,Personal L3,39,2,Offer1,Two-Door Car,Medsize,Branch,511.497882,9206.598256
1,1/28/11,PA16884,California,Bachelor,Employed,F,69379,Suburban,Single,0,14,Premium,103,Personal Auto,Personal L3,79,1,Offer1,Two-Door Car,Medsize,Branch,494.4,4118.588554
0,1/23/11,NC58480,Nevada,Bachelor,Employed,F,73769,Urban,Married,2,24,Basic,61,Personal Auto,Personal L3,95,3,Offer4,Four-Door Car,Medsize,Web,239.540223,4838.208972
0,2/28/11,NS39326,California,College,Employed,F,66670,Urban,Married,0,23,Basic,114,Personal Auto,Personal L3,6,1,Offer3,SUV,Medsize,Agent,518.180364,4625.548098
0,2001-06-11,PN18507,Arizona,Bachelor,Employed,M,88854,Suburban,Single,0,6,Premium,118,Personal Auto,Personal L2,50,2,Offer1,Two-Door Car,Medsize,Branch,715.252366,14042.103
0,1/20/11,EK91340,Oregon,Bachelor,Employed,M,31266,Suburban,Married,0,6,Basic,193,Corporate Auto,Corporate L3,79,1,Offer4,Luxury Car,Large,Branch,926.4,7546.613549
1,2/14/11,JY16280,California,High School or Below,Employed,F,43860,Rural,Single,0,15,Basic,65,Personal Auto,Personal L2,58,1,Offer2,Four-Door Car,Medsize,Agent,156.124914,2514.59196
0,1/31/11,ZW71731,California,Bachelor,Employed,M,89284,Urban,Divorced,2,4,Extended,133,Corporate Auto,Corporate L3,62,1,Offer1,SUV,Medsize,Web,402.070719,5170.358435
0,1/13/11,ZC24631,Oregon,College,Employed,M,67267,Rural,Single,0,31,Extended,89,Corporate Auto,Corporate L3,10,2,Offer3,Four-Door Car,Medsize,Call Center,94.814032,13917.37715
0,1/13/11,YR34689,California,High School or Below,Employed,F,79270,Suburban,Married,3,28,Extended,95,Personal Auto,Personal L1,61,2,Offer2,Four-Door Car,Medsize,Branch,456,11318.13083
0,1/16/11,RT65829,Oregon,Bachelor,Employed,M,36692,Suburban,Married,1,1,Premium,109,Personal Auto,Personal L3,6,1,Offer2,Four-Door Car,Medsize,Call Center,523.2,4276.363627
0,2/16/11,BZ12077,Oregon,High School or Below,Unemployed,F,0,Suburban,Divorced,0,0,Basic,119,Personal Auto,Personal L3,37,1,Offer2,SUV,Medsize,Agent,571.2,4322.240343
1,2001-11-11,WM65373,California,College,Unemployed,F,0,Suburban,Married,0,3,Basic,107,Corporate Auto,Corporate L3,65,3,Offer1,SUV,Medsize,Agent,513.6,8002.308333
1,2/28/11,NH35059,Nevada,College,Unemployed,M,0,Suburban,Married,0,3,Premium,105,Corporate Auto,Corporate L3,92,1,Offer1,Four-Door Car,Large,Branch,504,3885.456401
0,1/24/11,QD38160,Oregon,College,Unemployed,M,0,Suburban,Single,0,8,Extended,135,Personal Auto,Personal L3,14,1,Offer1,SUV,Medsize,Agent,972,4471.778239
0,2002-04-11,BM15160,California,High School or Below,Employed,F,44624,Rural,Married,1,10,Basic,71,Special Auto,Special L3,79,2,Offer4,Four-Door Car,Medsize,Web,73.883044,8496.352846
0,1/14/11,VY79030,Arizona,College,Unemployed,F,0,Suburban,Single,0,1,Basic,71,Corporate Auto,Corporate L2,23,2,Offer4,Four-Door Car,Medsize,Call Center,340.8,22500.88348
1,2/17/11,EV19512,Nevada,Master,Retired,F,19614,Suburban,Married,0,21,Extended,85,Personal Auto,Personal L2,32,2,Offer2,Two-Door Car,Medsize,Agent,574.024018,16301.9676
0,1/23/11,TE13577,Oregon,College,Unemployed,F,0,Suburban,Single,0,31,Basic,64,Personal Auto,Personal L1,53,1,Offer3,Four-Door Car,Medsize,Branch,632.715382,2319.735908
1,2/14/11,WY97929,Arizona,College,Employed,M,83846,Suburban,Married,3,22,Basic,74,Special Auto,Special L1,94,2,Offer2,Four-Door Car,Large,Agent,355.2,8717.049833
0,2/20/11,YG20683,Washington,College,Employed,M,51159,Rural,Married,0,4,Basic,72,Personal Auto,Personal L2,61,1,Offer2,Four-Door Car,Medsize,Branch,4.238626,2860.111745
0,1/21/11,FK75497,California,College,Employed,M,83772,Rural,Divorced,0,13,Basic,62,Personal Auto,Personal L3,76,1,Offer3,Two-Door Car,Large,Branch,42.248087,2453.408288
1,1/19/11,NE60110,Arizona,College,Employed,M,66839,Suburban,Single,0,33,Premium,154,Personal Auto,Personal L2,24,1,Offer2,Sports Car,Medsize,Branch,739.2,5989.773931
0,2/24/11,TN36521,Arizona,College,Employed,F,88440,Rural,Single,0,19,Basic,70,Personal Auto,Personal L3,30,2,Offer4,Two-Door Car,Medsize,Branch,27.145151,24980.22553
0,2/14/11,HG33568,Arizona,Master,Employed,F,25666,Urban,Married,2,7,Basic,63,Personal Auto,Personal L3,30,2,Offer4,Four-Door Car,Medsize,Call Center,270.002766,7482.639506
0,1/27/11,TW17878,Oregon,High School or Below,Employed,F,52926,Suburban,Married,0,2,Basic,61,Personal Auto,Personal L3,92,1,Offer1,Four-Door Car,Medsize,Call Center,292.8,2457.576007
0,2002-06-11,ZO83562,Nevada,Bachelor,Unemployed,F,0,Suburban,Single,0,16,Basic,67,Personal Auto,Personal L3,90,1,Offer3,Four-Door Car,Medsize,Agent,494.946438,2379.741171
0,2/22/11,CH97539,Washington,Bachelor,Employed,F,40001,Rural,Divorced,0,26,Basic,70,Personal Auto,Personal L3,7,2,Offer1,Four-Door Car,Medsize,Branch,142.567008,8286.964421
1,1/31/11,CV29889,California,College,Unemployed,M,0,Suburban,Single,0,24,Basic,70,Personal Auto,Personal L3,10,1,Offer1,Four-Door Car,Medsize,Branch,425.266308,2393.915369
0,1/13/11,MO33320,Oregon,College,Disabled,M,18024,Suburban,Single,0,13,Basic,65,Personal Auto,Personal L3,1,3,Offer1,Two-Door Car,Medsize,Agent,312,4657.159469
1,1/27/11,QZ81258,Oregon,College,Unemployed,F,0,Suburban,Single,3,19,Basic,68,Personal Auto,Personal L3,2,2,Offer1,Four-Door Car,Large,Agent,326.4,13197.92893
0,1/28/11,NY56352,Oregon,Bachelor,Medical Leave,F,23220,Urban,Married,0,3,Basic,74,Personal Auto,Personal L3,73,1,Offer1,Four-Door Car,Medsize,Agent,251.334247,2803.916726
1,2001-02-11,EA27048,California,High School or Below,Employed,F,64125,Urban,Married,0,3,Basic,108,Personal Auto,Personal L3,44,3,Offer2,SUV,Large,Branch,369.818708,8646.504109
0,2001-07-11,UT38865,Oregon,College,Employed,F,58042,Urban,Married,0,14,Basic,62,Corporate Auto,Corporate L3,88,2,Offer3,Four-Door Car,Medsize,Agent,161.419528,7425.870642
0,2001-11-11,QC89139,Oregon,High School or Below,Employed,F,90034,Suburban,Married,0,5,Basic,112,Corporate Auto,Corporate L3,86,1,Offer1,SUV,Medsize,Call Center,537.6,4528.737362
1,2001-05-11,LA14484,Nevada,High School or Below,Retired,M,27972,Suburban,Married,0,7,Basic,61,Special Auto,Special L1,38,1,Offer3,Four-Door Car,Medsize,Web,292.8,2227.072755
0,2/17/11,HN57556,California,High School or Below,Unemployed,F,0,Suburban,Single,0,6,Basic,65,Personal Auto,Personal L3,45,2,Offer2,Four-Door Car,Medsize,Branch,312,7292.948758
0,2/21/11,CV31235,Arizona,Bachelor,Employed,M,50989,Urban,Married,0,3,Extended,80,Corporate Auto,Corporate L3,11,1,Offer2,Four-Door Car,Medsize,Agent,255.999709,3184.355246
1,2/16/11,WR45726,Arizona,Bachelor,Disabled,F,11885,Suburban,Divorced,0,18,Premium,101,Special Auto,Special L1,39,2,Offer1,Four-Door Car,Medsize,Agent,484.8,11315.20373
1,1/21/11,LB25094,California,Bachelor,Employed,F,89451,Rural,Single,0,11,Basic,63,Special Auto,Special L2,2,1,Offer2,Four-Door Car,Medsize,Web,61.769564,2530.705137
0,2/28/11,KW56110,Oregon,Bachelor,Unemployed,M,0,Suburban,Single,0,3,Basic,182,Personal Auto,Personal L2,56,2,Offer1,Luxury Car,Medsize,Web,1310.4,18361.55525
0,2002-12-11,XO36233,Washington,Bachelor,Employed,M,78904,Rural,Divorced,0,10,Basic,109,Personal Auto,Personal L3,38,9,Offer4,SUV,Large,Branch,250.001424,8641.530036
0,2/19/11,ZX86243,Arizona,Doctor,Employed,M,70247,Rural,Single,1,13,Extended,83,Personal Auto,Personal L2,19,1,Offer4,Four-Door Car,Medsize,Call Center,141.799422,3278.53188
0,2/13/11,DW29763,Arizona,High School or Below,Employed,M,32653,Suburban,Married,0,4,Basic,67,Personal Auto,Personal L1,25,9,Offer1,Two-Door Car,Large,Agent,321.6,5271.982116
0,2/21/11,CT83377,Washington,High School or Below,Employed,M,93595,Rural,Married,4,15,Extended,97,Special Auto,Special L2,30,1,Offer4,Four-Door Car,Medsize,Agent,49.797016,3763.637743
0,2001-02-11,OQ90898,California,Master,Employed,M,90279,Urban,Divorced,0,7,Basic,115,Personal Auto,Personal L1,64,2,Offer3,SUV,Medsize,Call Center,372.175592,13955.56961
0,2002-02-11,GO77248,Oregon,College,Unemployed,F,0,Suburban,Single,0,3,Basic,72,Personal Auto,Personal L3,56,3,Offer1,Four-Door Car,Small,Agent,542.14385,5001.527484
