ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating
2919,A,Ship,3,252,3,low,M,18,3701,1,1
2920,B,Ship,4,147,3,medium,M,32,1666,1,0
2921,C,Ship,5,157,4,low,M,1,1306,1,0
2922,F,Ship,3,257,2,medium,M,37,3517,1,0
2923,D,Ship,4,172,3,medium,F,6,1261,1,0
2924,F,Ship,4,134,3,high,F,22,1629,1,0
2925,A,Ship,2,152,4,low,F,48,1212,1,0
2926,B,Ship,3,161,3,low,F,57,1918,1,0
2927,C,Ship,3,269,3,low,M,47,3033,1,0
2928,F,Ship,2,164,2,medium,M,64,1689,1,0
2929,D,Ship,5,114,6,medium,F,60,1746,1,0
2930,F,Ship,6,213,6,low,M,7,2709,1,1
2931,A,Ship,4,255,3,medium,F,60,2777,1,0
2932,B,Ship,3,135,3,medium,F,28,1329,1,0
2933,C,Ship,3,155,3,medium,F,7,1434,1,0
2934,F,Ship,6,273,4,medium,F,32,2532,1,0
2935,D,Ship,4,135,3,low,F,15,1008,1,0
2936,F,Ship,4,170,3,low,M,29,1188,1,0
2937,A,Ship,6,138,5,medium,F,15,1181,1,0
2938,B,Ship,3,213,4,low,M,53,3502,1,0
2939,C,Ship,4,156,5,high,F,55,1619,1,1
2940,F,Ship,3,139,2,low,M,47,1241,1,0
2941,D,Ship,3,263,3,medium,M,6,2715,1,0
2942,F,Ship,2,160,4,low,F,53,1850,1,0
2943,A,Ship,3,148,2,low,M,39,1402,1,0
2944,B,Ship,4,259,3,high,M,45,3761,1,0
2945,C,Ship,5,273,3,low,F,60,3384,1,0
2946,F,Ship,3,212,3,medium,F,9,2521,1,0
2947,D,Ship,3,144,6,low,F,46,1110,1,1
2948,F,Ship,2,193,3,medium,M,64,2867,1,0
2949,A,Ship,5,198,3,low,F,44,3706,1,0
2950,B,Ship,3,207,4,low,F,45,3770,1,1
2951,C,Ship,6,236,4,low,F,10,2030,1,0
2952,F,Ship,4,165,3,low,M,7,1702,1,0
2953,D,Ship,3,162,3,low,M,3,1693,1,0
2954,F,Ship,4,184,3,low,F,63,3609,1,0
2955,A,Ship,5,145,2,medium,M,48,1834,1,1
2956,B,Ship,3,228,2,medium,M,27,3473,1,0
2957,C,Ship,5,213,2,high,M,12,2522,1,1
2958,F,Ship,2,146,3,medium,F,1,1162,1,0
2959,D,Ship,4,220,3,high,F,39,2459,1,0
2960,F,Ship,3,231,3,medium,F,49,3441,1,0
2961,A,Ship,3,212,8,low,F,56,3337,1,0
2962,B,Ship,4,202,3,low,F,48,2213,1,0
2963,C,Ship,5,208,8,low,M,39,2905,1,1
2964,F,Ship,3,200,3,low,M,46,2460,1,0
2965,D,Ship,3,250,3,low,F,37,2736,1,0
2966,F,Ship,3,126,2,low,F,29,1192,1,1
2967,A,Ship,4,222,4,medium,F,42,2762,1,0
2968,B,Ship,6,236,4,low,F,61,3140,1,0
2969,C,Ship,4,165,3,low,M,4,1484,1,0
2970,F,Ship,3,162,3,low,M,17,1700,1,0
2971,D,Ship,4,184,3,low,F,37,3436,1,0
2972,F,Ship,5,145,2,medium,M,6,1965,1,0
2973,A,Ship,3,228,2,medium,M,46,3306,1,0
2974,B,Ship,5,213,2,high,F,27,2581,1,0
2975,C,Ship,2,146,3,medium,M,18,1289,1,0
2976,F,Ship,4,220,3,high,M,2,3886,1,0
2977,D,Ship,3,231,3,medium,M,39,3792,1,0
2978,F,Ship,3,212,8,low,F,34,2750,1,0
2979,A,Ship,4,202,3,low,F,38,2651,1,1
2980,B,Ship,5,208,8,low,M,62,3450,1,0
2981,C,Ship,3,200,3,low,M,4,3791,1,0
2982,F,Ship,3,250,3,low,F,8,3617,1,0
2983,D,Ship,3,126,2,low,F,63,1141,1,1
2984,F,Ship,4,222,4,medium,M,49,3697,1,0
2985,A,Ship,3,273,6,low,M,6,1771,1,0
2986,B,Ship,6,161,4,medium,F,20,1338,1,1
2987,C,Ship,5,236,3,medium,F,10,1347,1,0
2988,F,Road,6,281,5,medium,F,8,1864,1,0
2989,D,Road,5,168,4,low,M,7,1298,1,0
2990,F,Road,5,206,4,low,M,62,1137,1,0
2991,A,Road,4,144,4,high,M,5,1294,1,0
2992,B,Road,5,239,5,medium,F,19,2988,1,0
2993,C,Road,3,129,3,medium,F,52,1513,1,1
2994,F,Road,4,201,4,medium,M,46,3498,1,1
2995,D,Road,5,160,3,medium,M,55,1911,1,1
2996,F,Road,6,130,6,low,F,60,1971,1,1
2997,A,Road,3,132,4,medium,M,58,1067,1,0
2998,B,Road,4,185,4,medium,F,36,2583,1,0
2999,C,Road,5,271,4,low,F,4,2718,1,0
3000,F,Road,5,168,2,medium,M,20,1539,1,0
3001,D,Road,5,154,3,medium,F,50,1389,1,1
3002,F,Road,3,203,3,low,M,4,3114,1,0
3003,A,Road,3,274,3,low,M,4,2087,1,0
3004,B,Road,5,280,4,low,F,19,3298,1,0
3005,C,Road,4,196,2,low,M,51,3151,1,1
3006,F,Road,5,159,3,medium,F,63,1675,1,0
3007,D,Road,5,269,3,medium,M,15,2522,1,0
3008,F,Road,4,161,3,low,F,52,1199,1,0
3009,A,Road,3,159,2,medium,F,44,1806,1,0
3010,B,Flight,5,147,6,medium,F,21,1145,1,0
3011,C,Flight,3,214,2,medium,F,4,3754,1,0
3012,F,Flight,4,157,4,medium,F,12,1038,1,1
3013,D,Flight,5,147,2,medium,M,19,1936,1,1
3014,F,Flight,5,182,3,medium,F,11,3545,1,0
3015,A,Flight,3,188,2,low,F,12,2711,1,1
3016,B,Flight,3,104,2,low,M,1,1021,1,0
3017,C,Flight,5,195,3,low,M,55,2641,1,1
3018,F,Flight,4,235,2,high,M,64,2107,1,0
3019,D,Flight,4,219,2,medium,F,21,3830,1,1
3020,F,Flight,4,253,2,low,F,36,3389,1,1
3021,A,Flight,3,253,4,medium,F,57,2489,1,0
3022,B,Flight,4,167,3,low,M,42,1197,1,0
3023,C,Flight,4,211,2,low,F,39,2520,1,0
3024,F,Flight,3,155,3,medium,M,4,1548,1,0
3025,D,Flight,6,231,4,medium,F,23,2455,1,0
3026,F,Flight,5,182,4,low,M,61,3063,1,0
3027,A,Flight,3,212,2,medium,M,56,3547,1,1
3028,B,Flight,3,107,3,high,F,13,1861,1,0
3029,C,Flight,5,172,4,high,F,61,1161,1,0
3030,F,Flight,3,224,3,low,M,40,2180,1,0
3031,D,Flight,3,209,3,high,F,37,3650,1,0
3032,F,Ship,4,268,2,medium,M,46,3076,1,1
3033,A,Ship,3,141,4,low,M,9,1909,1,0
3034,B,Ship,4,260,2,low,M,17,3068,1,0
3035,C,Ship,5,151,4,medium,M,10,1441,1,0
3036,F,Ship,5,184,2,medium,M,27,3276,1,0
3037,D,Ship,5,270,3,high,M,52,3908,1,0
3038,F,Ship,5,135,2,medium,F,20,1908,1,0
3039,A,Ship,4,276,4,low,F,3,3889,1,0
3040,B,Ship,4,177,3,medium,M,23,1142,1,0
3041,C,Ship,3,149,3,medium,F,64,1920,1,0
3042,F,Ship,4,220,4,low,M,19,3602,1,0
3043,D,Ship,4,267,3,low,F,53,3742,1,1
3044,F,Ship,3,274,3,medium,F,50,3958,1,0
3045,A,Ship,4,243,3,low,M,10,3327,1,0
3046,B,Ship,5,166,2,low,M,44,1647,1,0
3047,C,Ship,5,225,3,medium,M,1,2049,1,0
3048,F,Ship,3,138,2,medium,F,40,1117,1,0
3049,D,Ship,4,141,4,medium,F,38,1599,1,0
3050,F,Ship,3,271,4,medium,F,16,2693,1,0
3051,A,Ship,6,243,3,medium,F,35,2374,1,1
3052,B,Ship,3,231,3,medium,M,53,2333,1,0
3053,C,Ship,5,168,3,low,M,34,1779,1,0
3054,F,Ship,5,264,2,low,F,61,2025,1,0
3055,D,Ship,4,233,3,medium,M,26,2624,1,0
3056,F,Ship,4,247,5,medium,F,17,3630,1,0
3057,A,Ship,3,176,3,low,F,4,1095,1,0
3058,B,Ship,5,257,4,medium,M,31,2040,1,1
3059,C,Ship,3,147,4,low,M,18,1613,1,0
3060,F,Ship,5,195,2,low,F,6,3936,1,1
3061,D,Ship,2,153,2,medium,F,57,1264,1,0
3062,F,Ship,3,237,4,low,M,28,3903,1,1
3063,A,Ship,6,217,5,low,F,7,3725,1,0
3064,B,Ship,5,140,4,medium,M,48,1322,1,0
3065,C,Ship,2,164,4,medium,M,2,1439,1,1
3066,F,Ship,3,243,3,medium,F,27,2052,1,0
3067,D,Ship,3,158,3,high,M,41,1137,1,0
3068,F,Ship,5,180,4,high,M,10,1200,1,1
3069,A,Ship,4,139,3,low,M,64,1814,1,0
3070,B,Ship,4,162,2,medium,M,8,1386,1,0
3071,C,Ship,5,206,4,low,M,18,3104,1,0
3072,F,Ship,3,238,2,low,M,19,2196,1,0
3073,D,Ship,5,254,2,medium,M,4,3297,1,0
3074,F,Ship,5,270,3,medium,M,38,3669,1,0
3075,A,Ship,3,255,2,low,M,18,3732,1,0
3076,B,Ship,4,182,2,low,F,13,3332,1,0
3077,C,Ship,3,149,2,medium,M,7,1145,1,0
3078,F,Ship,4,221,5,medium,M,22,3075,1,0
3079,D,Ship,4,135,2,low,M,60,1026,1,1
3080,F,Ship,3,188,2,low,F,14,2074,1,0
3081,A,Ship,5,194,3,low,M,47,2256,1,1
3082,B,Ship,4,134,2,medium,F,29,1010,1,0
3083,C,Ship,3,210,2,medium,M,29,3142,1,0
3084,F,Ship,4,169,2,low,M,22,1322,1,0
3085,D,Ship,3,147,2,low,F,52,1040,1,0
3086,F,Ship,4,213,3,low,F,21,3585,1,0
3087,A,Ship,3,223,2,low,M,64,3595,1,0
3088,B,Ship,4,233,2,medium,F,60,2671,1,0
3089,C,Ship,4,218,2,high,M,1,2990,1,0
3090,F,Ship,4,219,3,medium,M,27,3684,1,1
3091,D,Ship,3,145,2,low,F,44,1212,1,0
3092,F,Ship,3,257,3,low,M,44,3370,1,0
3093,A,Ship,3,238,6,medium,F,59,3375,1,0
3094,B,Ship,4,145,6,low,M,32,1673,1,0
3095,C,Ship,4,243,3,low,F,36,2111,1,0
3096,F,Ship,4,179,2,low,M,18,1369,1,0
3097,D,Ship,2,188,2,high,M,25,2033,1,0
3098,F,Ship,4,168,3,medium,M,53,1782,1,0
3099,A,Ship,5,157,4,low,M,58,1252,1,0
3100,B,Ship,3,172,3,low,M,32,1943,1,0
3101,C,Ship,5,195,3,low,M,37,3690,1,0
3102,F,Ship,3,225,3,low,F,59,3488,1,0
3103,D,Ship,3,227,2,medium,F,24,2749,1,0
3104,F,Ship,3,159,3,low,M,46,1857,1,1
3105,A,Ship,2,273,3,low,M,56,2633,1,0
3106,B,Ship,5,214,6,low,F,3,3234,1,0
3107,C,Ship,4,175,3,medium,F,34,1005,1,0
3108,F,Ship,3,213,2,low,F,39,2857,1,1
3109,D,Ship,4,190,4,medium,M,12,3115,1,0
3110,F,Ship,4,265,4,medium,F,40,2637,1,0
3111,A,Ship,4,146,4,low,M,12,1899,1,0
3112,B,Ship,5,229,2,medium,F,44,2419,1,0
3113,C,Ship,3,195,3,medium,F,47,2439,1,1
3114,F,Ship,2,151,3,low,M,34,1652,1,1
3115,D,Ship,4,217,3,low,M,1,3133,1,0
3116,F,Ship,4,134,3,low,F,14,1716,1,0
3117,A,Ship,3,195,2,low,F,42,3814,1,1
3118,B,Ship,4,142,4,low,M,29,1420,1,0
3119,C,Ship,2,182,4,medium,M,1,3624,1,0
3120,F,Ship,4,155,5,low,F,48,1043,1,0
3121,D,Ship,3,238,2,medium,F,34,2726,1,1
3122,F,Ship,4,182,3,medium,F,49,3198,1,0
3123,A,Ship,4,237,4,medium,F,22,2231,1,0
3124,B,Ship,4,222,3,low,F,24,3503,1,0
3125,C,Road,5,177,2,medium,F,45,1664,1,0
3126,F,Road,4,197,3,medium,F,41,3280,1,0
3127,D,Road,3,224,3,low,F,48,3672,1,0
3128,F,Road,3,193,2,low,M,19,3097,1,0
3129,A,Road,3,169,3,high,M,24,1740,1,0
3130,B,Road,3,248,2,medium,F,15,2983,1,0
3131,C,Road,6,246,4,medium,M,50,3618,1,1
3132,F,Road,4,232,3,medium,M,55,2686,1,0
3133,D,Road,3,251,3,low,F,21,2476,1,1
3134,F,Road,3,163,3,medium,M,58,1443,1,0
3135,A,Road,6,201,2,low,M,4,5916,1,0
3136,B,Road,6,141,3,medium,M,8,5031,0,1
3137,C,Road,3,219,3,low,M,4,5956,0,0
3138,F,Road,4,161,3,high,M,7,4245,0,0
3139,D,Road,4,225,4,medium,M,5,4622,0,1
3140,F,Road,5,277,3,medium,M,1,4186,1,0
3141,A,Road,3,256,4,medium,M,3,4732,0,0
3142,B,Road,6,153,5,low,F,1,4597,1,0
3143,C,Road,4,135,3,low,F,4,4651,1,0
3144,F,Road,3,253,3,medium,M,7,5085,0,0
3145,D,Road,4,139,3,low,M,5,5335,0,1
3146,F,Road,3,136,2,high,F,1,4971,0,1
3147,A,Flight,4,172,3,medium,M,7,4883,0,0
3148,B,Flight,4,272,3,high,F,6,4559,0,0
3149,C,Flight,3,207,3,high,M,1,5632,1,0
3150,F,Flight,2,134,3,low,M,4,5958,0,0
3151,D,Flight,3,238,8,medium,F,3,4943,0,0
3152,F,Flight,2,274,10,high,M,3,4167,1,0
3153,A,Flight,4,237,6,low,F,8,5695,0,0
3154,B,Flight,3,153,10,high,M,2,5455,0,0
3155,C,Flight,4,223,3,low,F,8,4974,1,0
3156,F,Flight,3,149,3,low,M,1,5040,1,0
3157,D,Flight,3,132,3,low,M,7,4013,1,1
3158,F,Flight,4,246,3,low,F,7,5616,0,0
3159,A,Flight,4,159,5,low,F,4,5547,1,0
3160,B,Flight,3,162,8,high,F,10,5429,0,0
3161,C,Flight,3,123,5,medium,F,5,4292,0,0
3162,F,Flight,5,231,7,high,F,9,5558,0,0
3163,D,Flight,3,213,10,medium,M,9,4862,0,0
3164,F,Flight,5,160,3,high,M,1,5834,0,0
3165,A,Flight,4,225,5,low,M,5,5060,1,0
3166,B,Flight,3,178,3,low,M,3,4811,0,0
3167,C,Flight,4,273,3,medium,M,5,5055,0,0
3168,F,Flight,3,129,3,high,M,9,4342,1,0
3169,D,Ship,3,273,6,low,F,9,1198,1,0
3170,F,Ship,6,161,4,medium,M,8,1247,0,0
3171,A,Ship,4,139,3,low,F,3,5824,1,1
3172,B,Ship,3,136,2,high,F,6,4002,1,0
3173,C,Ship,4,172,3,medium,F,1,4201,0,0
3174,F,Ship,4,272,3,high,M,7,5927,0,0
3175,D,Ship,3,207,3,high,F,3,4909,1,0
3176,F,Ship,2,134,3,low,M,6,4444,1,0
3177,A,Ship,3,238,8,medium,M,3,4388,1,0
3178,B,Ship,2,274,10,high,F,1,5622,0,0
3179,C,Ship,4,237,6,low,M,8,5588,0,0
3180,F,Ship,3,153,10,high,F,7,5305,0,0
3181,D,Ship,4,223,3,low,M,7,4026,1,0
3182,F,Ship,3,149,3,low,F,9,5412,0,1
3183,A,Ship,3,132,3,low,M,6,5721,1,0
3184,B,Ship,4,246,3,low,F,5,4710,0,0
3185,C,Ship,4,159,5,low,M,4,4666,1,0
3186,F,Ship,3,162,8,high,F,10,4842,0,0
3187,D,Ship,3,123,5,medium,F,10,4231,0,0
3188,F,Ship,5,231,7,high,M,6,5755,0,1
3189,A,Ship,3,213,10,medium,M,2,4847,0,0
3190,B,Ship,5,160,3,high,M,2,5141,1,0
3191,C,Ship,4,225,5,low,M,8,4195,0,0
3192,F,Ship,3,178,3,low,F,3,5540,0,1
3193,D,Ship,4,273,3,medium,M,2,4374,0,1
3194,F,Ship,3,129,3,high,M,7,5197,1,0
3195,A,Ship,3,273,6,low,M,1,1293,0,0
3196,B,Ship,6,161,4,medium,M,3,1747,1,0
3197,C,Ship,5,206,4,low,M,5,1149,0,0
3198,F,Ship,4,296,2,medium,M,1,1678,0,1
3199,D,Ship,3,249,5,medium,F,6,1887,0,0
3200,F,Ship,4,301,5,low,M,6,1931,0,0
3201,A,Ship,4,296,3,low,M,4,1991,0,0
3202,B,Ship,3,205,4,low,M,2,1648,0,1
3203,C,Ship,3,132,2,low,F,9,4355,1,0
3204,F,Ship,4,223,3,high,M,5,4282,0,0
3205,D,Ship,3,190,3,medium,F,2,4312,0,0
3206,F,Ship,5,194,3,low,F,1,4331,0,0
3207,A,Ship,2,176,2,medium,F,2,5138,0,0
3208,B,Ship,6,227,5,medium,F,8,4388,0,0
3209,C,Ship,5,149,2,low,M,9,5435,0,0
3210,F,Ship,5,173,2,low,M,7,5836,0,0
3211,D,Ship,3,181,2,low,F,6,5410,0,0
3212,F,Ship,3,251,2,low,M,4,4015,0,1
3213,A,Ship,4,243,3,low,F,2,4909,0,1
3214,B,Ship,3,210,3,low,M,10,4398,1,0
3215,C,Ship,5,145,4,medium,F,9,4028,0,0
3216,F,Ship,3,196,3,low,M,10,4546,0,0
3217,D,Ship,3,154,2,medium,M,5,5735,1,0
3218,F,Ship,4,164,4,low,M,6,4432,1,0
3219,A,Ship,4,210,3,medium,F,1,4379,1,0
3220,B,Ship,5,212,2,low,F,7,5219,0,0
3221,C,Ship,3,263,2,medium,M,9,4868,1,0
3222,F,Ship,3,155,2,low,M,3,5481,1,0
3223,D,Ship,3,223,2,low,M,9,4211,0,0
3224,F,Ship,5,269,3,low,F,3,4489,0,0
3225,A,Ship,3,117,3,low,F,6,4046,0,0
3226,B,Ship,4,151,2,low,M,3,4105,1,0
3227,C,Ship,4,271,3,medium,M,4,4743,1,0
3228,F,Ship,3,205,3,low,M,10,5714,0,0
3229,D,Ship,5,210,5,medium,M,9,5431,1,0
3230,F,Ship,4,133,2,medium,M,8,4277,0,0
3231,A,Ship,5,215,6,medium,F,5,5195,1,0
3232,B,Ship,2,140,3,low,F,2,4691,0,0
3233,C,Ship,3,255,2,low,M,8,5955,1,0
3234,F,Ship,2,159,3,low,M,5,4190,0,1
3235,D,Ship,5,169,2,low,M,8,5352,1,0
3236,F,Ship,5,182,2,medium,M,2,4554,1,0
3237,A,Ship,2,231,2,low,F,10,4406,1,1
3238,B,Ship,3,177,3,low,F,6,4445,0,0
3239,C,Ship,4,250,3,medium,F,3,5055,1,0
3240,F,Ship,4,145,3,medium,F,4,5122,1,0
3241,D,Ship,2,117,3,high,F,2,4268,1,1
3242,F,Ship,3,170,3,low,M,5,4716,1,0
3243,A,Ship,4,173,3,high,F,9,5382,1,0
3244,B,Ship,4,232,3,medium,M,8,4658,1,0
3245,C,Ship,3,231,4,medium,M,4,5510,0,0
3246,F,Ship,3,136,3,medium,M,2,4524,1,0
3247,D,Ship,4,189,3,medium,M,5,4496,1,0
3248,F,Ship,5,222,3,low,M,7,5340,0,0
3249,A,Ship,4,148,3,high,F,7,5034,1,0
3250,B,Ship,5,265,2,medium,F,7,5464,1,0
3251,C,Ship,4,181,2,low,F,3,5877,0,0
3252,F,Ship,6,189,2,high,M,4,5898,1,1
3253,D,Ship,3,160,3,medium,F,6,4808,1,0
3254,F,Ship,3,235,3,medium,F,10,4186,0,0
3255,A,Ship,3,100,3,medium,M,4,4191,0,0
3256,B,Ship,5,135,4,medium,F,7,5765,1,1
3257,C,Ship,5,137,3,low,M,6,4883,0,0
3258,F,Ship,4,222,3,high,F,9,5337,0,0
3259,D,Ship,5,246,3,medium,F,10,4078,1,0
3260,F,Ship,3,202,3,medium,F,8,5486,1,0
3261,A,Ship,4,273,3,low,F,1,5043,1,1
3262,B,Road,5,248,2,low,F,9,5881,1,0
3263,C,Road,4,199,4,medium,F,5,4194,0,0
3264,F,Road,4,209,3,medium,M,7,4104,1,0
3265,D,Road,4,216,2,low,M,2,4905,0,1
3266,F,Road,4,227,3,low,M,2,4318,1,0
3267,A,Road,3,216,4,medium,F,4,4416,0,0
3268,B,Road,2,242,2,medium,F,1,5892,1,0
3269,C,Road,5,217,3,medium,F,8,4949,1,0
3270,F,Road,2,160,3,medium,F,9,4613,0,0
3271,D,Road,5,141,2,medium,M,4,5257,0,0
3272,F,Road,5,263,2,medium,F,5,4595,0,0
3273,A,Road,5,171,4,low,M,7,5359,1,0
3274,B,Road,3,195,2,low,F,4,4864,0,1
3275,C,Road,3,237,3,low,M,4,5561,1,1
3276,F,Road,2,241,4,low,F,4,5693,1,1
3277,D,Road,3,134,3,medium,F,9,4230,1,0
3278,F,Road,5,156,3,low,F,5,5398,1,1
3279,A,Road,3,211,2,low,M,6,6000,0,0
3280,B,Road,3,243,2,low,F,5,4769,0,0
3281,C,Road,4,196,2,medium,F,7,4116,1,0
3282,F,Road,3,242,2,medium,F,7,4960,0,0
3283,D,Road,3,175,3,low,F,3,4449,0,0
3284,F,Flight,2,155,3,low,M,1,5154,0,0
3285,A,Flight,4,200,2,low,F,9,4808,1,0
3286,B,Flight,3,191,3,low,M,4,4586,0,0
3287,C,Flight,4,221,3,low,F,6,5895,0,1
3288,F,Flight,3,135,3,low,M,9,4511,0,0
3289,D,Flight,3,152,4,medium,F,7,5943,1,0
3290,F,Flight,2,172,2,low,M,7,4649,0,1
3291,A,Flight,5,253,2,high,F,2,5643,1,0
3292,B,Flight,5,270,2,high,M,10,5360,0,0
3293,C,Flight,2,139,4,high,M,3,5041,0,0
3294,F,Flight,5,257,4,medium,M,9,5088,0,0
3295,D,Flight,4,155,3,low,F,5,4283,1,0
3296,F,Flight,3,125,2,low,M,5,4933,1,1
3297,A,Flight,5,233,2,low,F,7,4597,1,0
3298,B,Flight,3,205,2,medium,M,6,4989,1,0
3299,C,Flight,5,243,3,medium,M,4,4420,1,0
3300,F,Flight,4,208,3,low,F,10,4919,0,0
3301,D,Flight,3,230,3,medium,F,6,4392,0,0
3302,F,Flight,4,205,3,medium,M,5,4949,1,1
3303,A,Flight,3,170,2,low,F,2,5664,0,0
3304,B,Flight,4,222,2,medium,M,5,4268,0,0
3305,C,Flight,5,186,2,low,M,3,4213,0,0
3306,F,Ship,5,208,2,low,F,8,5218,0,0
3307,D,Ship,4,223,3,medium,F,9,5897,0,0
3308,F,Ship,5,154,2,medium,M,8,4006,0,0
3309,A,Ship,5,235,4,medium,F,10,4011,0,0
3310,B,Ship,4,271,3,medium,M,1,4137,0,0
3311,C,Ship,4,250,3,low,F,2,5206,0,1
3312,F,Ship,4,206,2,medium,M,4,5159,0,0
3313,D,Ship,3,153,3,low,M,10,5121,1,0
3314,F,Ship,4,212,2,medium,F,6,4117,1,0
3315,A,Ship,6,168,2,high,M,6,5686,0,0
3316,B,Ship,3,171,2,low,M,10,5379,1,0
3317,C,Ship,3,132,2,low,M,10,4462,1,1
3318,F,Ship,5,141,3,low,M,9,4857,0,0
3319,D,Ship,3,254,2,low,M,1,4334,0,0
3320,F,Ship,4,159,2,medium,F,6,5221,0,0
3321,A,Ship,2,194,2,low,F,4,4803,1,0
3322,B,Ship,4,178,6,low,M,6,4203,0,0
3323,C,Ship,3,151,3,low,M,2,5712,1,0
3324,F,Ship,5,244,2,low,F,5,4125,1,0
3325,D,Ship,3,237,3,low,M,8,5287,1,0
3326,F,Ship,3,241,3,medium,M,9,5184,0,0
3327,A,Ship,4,156,3,low,M,3,5923,0,0
3328,B,Ship,4,243,3,medium,M,1,5021,0,0
3329,C,Ship,5,219,2,medium,M,4,4289,0,1
3330,F,Ship,4,168,2,high,M,2,5776,0,1
3331,D,Ship,6,224,6,high,M,8,5661,0,0
3332,F,Ship,4,216,2,medium,M,2,5840,1,0
3333,A,Ship,3,187,5,low,F,6,4698,0,0
3334,B,Ship,5,204,3,high,F,1,4037,1,0
3335,C,Ship,6,266,5,low,M,10,4140,0,1
3336,F,Ship,3,179,2,low,F,2,4931,1,0
3337,D,Ship,3,184,3,low,M,10,4776,0,0
3338,F,Ship,6,204,4,medium,F,2,4431,0,0
3339,A,Ship,3,255,2,medium,F,7,4332,1,0
3340,B,Ship,4,272,2,medium,F,5,5252,0,0
3341,C,Ship,4,186,2,low,M,7,4947,1,0
3342,F,Ship,5,147,4,medium,M,6,4369,0,0
3343,D,Ship,3,145,3,medium,M,4,5361,1,0
3344,F,Ship,5,255,3,medium,F,6,5715,0,0
3345,A,Ship,3,133,2,low,F,7,4663,0,0
3346,B,Ship,4,155,4,low,F,1,4985,0,0
3347,C,Ship,4,151,4,medium,M,10,4796,0,1
3348,F,Ship,4,270,2,high,F,3,4914,1,0
3349,D,Ship,3,234,4,high,M,6,4942,0,0
3350,F,Ship,3,186,2,medium,M,4,4352,0,1
3351,A,Ship,4,157,2,medium,M,6,5937,0,1
3352,B,Ship,4,268,3,low,M,7,5947,0,0
3353,C,Ship,4,244,2,low,M,10,4486,1,0
3354,F,Ship,4,190,3,low,M,2,4554,0,1
3355,D,Ship,4,161,4,low,M,5,5038,0,0
3356,F,Ship,2,162,3,high,F,2,5893,1,0
3357,A,Ship,4,163,8,medium,F,6,5739,0,0
3358,B,Ship,3,211,6,low,M,5,5777,1,0
3359,C,Ship,3,205,8,medium,M,1,4977,1,0
3360,F,Ship,3,150,3,medium,F,4,4442,1,1
3361,D,Ship,2,209,5,medium,F,10,4623,1,1
3362,F,Ship,5,250,3,medium,F,6,5298,0,0
3363,A,Ship,3,206,3,high,F,1,4431,1,0
3364,B,Ship,5,244,3,low,M,2,4198,0,0
3365,C,Ship,2,180,3,low,M,2,4615,1,0
3366,F,Ship,4,256,3,medium,M,1,5784,1,0
3367,D,Ship,5,273,3,medium,F,2,5672,1,0
3368,F,Ship,4,178,8,medium,F,6,4872,0,0
3369,A,Ship,4,296,2,medium,F,2,1233,0,0
3370,B,Ship,3,249,5,medium,F,9,1752,0,0
3371,C,Ship,4,151,4,medium,M,3,5470,0,1
3372,F,Ship,4,270,2,high,F,5,5346,0,0
3373,D,Ship,3,234,4,high,F,7,4568,1,0
3374,F,Ship,3,186,2,medium,F,9,5841,0,0
3375,A,Ship,4,157,2,medium,M,3,5801,0,0
3376,B,Ship,4,268,3,low,F,3,5488,1,0
3377,C,Ship,4,244,2,low,F,3,4644,1,0
3378,F,Ship,4,190,3,low,M,2,4800,0,0
3379,D,Ship,4,161,4,low,F,10,5322,0,0
3380,F,Ship,2,162,3,high,M,10,4489,1,0
3381,A,Ship,4,163,8,medium,F,9,5489,1,0
3382,B,Ship,3,211,6,low,F,2,4417,0,0
3383,C,Ship,3,205,8,medium,F,5,4869,1,0
3384,F,Ship,3,150,3,medium,M,4,5536,0,0
3385,D,Ship,2,209,5,medium,F,9,5565,0,1
3386,F,Ship,5,250,3,medium,M,4,4343,0,0
3387,A,Ship,3,206,3,high,F,8,4763,1,0
3388,B,Ship,5,244,3,low,M,9,5695,0,1
3389,C,Ship,2,180,3,low,M,2,5033,1,0
3390,F,Ship,4,256,3,medium,M,10,4504,1,1
3391,D,Ship,5,273,3,medium,M,6,4044,1,0
3392,F,Ship,4,178,8,medium,M,5,4120,1,0
3393,A,Ship,4,296,2,medium,F,9,1523,1,0
3394,B,Ship,4,275,6,medium,M,2,1712,1,0
3395,C,Ship,5,270,3,low,M,2,4351,1,1
3396,F,Ship,6,224,4,medium,M,6,4616,0,1
3397,D,Ship,2,172,5,low,M,4,4668,0,0
3398,F,Ship,4,176,3,low,F,1,4774,0,0
3399,A,Road,6,240,4,low,M,9,4099,0,0
3400,B,Road,3,213,3,low,F,5,4535,1,0
3401,C,Road,4,197,3,low,F,2,5707,0,0
3402,F,Road,4,167,2,low,F,7,4289,1,1
3403,D,Road,5,180,3,low,F,2,5013,1,0
3404,F,Road,3,119,2,low,F,10,4146,1,0
3405,A,Road,5,232,4,low,M,3,5447,0,1
3406,B,Road,3,139,2,medium,M,7,5536,0,1
3407,C,Road,3,272,3,low,M,2,4459,1,0
3408,F,Road,3,253,3,low,F,7,4915,0,0
3409,D,Road,3,188,3,low,M,4,5376,0,0
3410,F,Road,3,202,3,medium,M,5,5169,0,0
